date	test	negative	confirmed	deceased	age	confirmed_time_age	deceased_time_age	sex	confirmed_time_gender	deceased_time_gender	coronavirus
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-27	61	56	4	0	NA	NA	NA	NA	NA	NA	57.07446
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-28	116	97	4	0	NA	NA	NA	NA	NA	NA	72.63073
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-29	187	155	4	0	NA	NA	NA	NA	NA	NA	52.06261
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-30	246	199	6	0	NA	NA	NA	NA	NA	NA	45.93889
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-01-31	312	245	11	0	NA	NA	NA	NA	NA	NA	58.4187
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
