.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
45	Gangseo-gu	27	10040	Seoul	37.551166	126.849506	36	56	1	1.17	14.39	5.7	1080	4. High	-1.5270841124507695	0.321085836633452	-0.32939653044126443	1.1055428417759707	-0.8123946858711346	-0.046311155623575455	-0.06564249776872437
46	Gangseo-gu	27	11010	Busan	35.212424	128.98068	17	21	0	1.43	11.84	5	147	4. High	-0.0038150229919567285	1.8224974706693413	0.34005204395591526	0.4821614834684075	0.5511798525377212	-0.08670455366342375	-0.09483697035794002
47	Gapyeong-gun	1	20010	Gyeonggi-do	37.831297	127.509555	13	14	0	0.88	25.09	12	114	2. Low	1.603355544748119	0.395653977859331	0.09468755145947921	0.3467242289667072	0.05219486249265048	-0.055513758351793646	0.15502420655793775
48	Geochang-gun	19	61020	Gyeongsangnam-do	35.686526	127.910021	17	16	2	1.25	27.01	17.4	127	3. Moderate	1.3740531917280219	-0.4400214743206329	0.047212358786174344	-0.9263196677622235	0.029346735941008922	0.02417213268632004	-0.3034208451055339
49	Geoje-si	6	61010	Gyeongsangnam-do	34.880519	128.621216	38	58	1	1.76	10.22	4.7	317	2. Low	-1.4951644406277662	0.9996546869381074	0.07206843261973199	0.3881911183023131	0.985120241278485	-0.06842084498046169	-0.10319977356351645
50	Geumcheon-gu	13	10080	Seoul	37.456852	126.895229	18	19	0	0.96	16.15	6.7	475	3. Moderate	0.2833301281321586	1.1389149594020753	0.1989154713602722	0.918297169212945	-0.3350994652685265	-0.16526593795600894	-0.05139762233769333
51	Geumjeong-gu	6	11020	Busan	35.243053	129.092163	22	28	4	1.64	19.8	8.4	466	2. Low	-0.7065244408681778	0.23990934493961388	0.7029627522031123	-1.1941628118661767	-0.4232988735342638	-0.05678307760886595	0.11841539122138733
52	Gijang-gun	1	11030	Busan	35.244881	129.222253	21	35	0	1.31	15.45	7.4	229	2. Low	0.07331513932422819	1.0979084024380736	0.06148642258795602	0.5903168371205925	0.4986376583889921	0.0746840838852556	-0.0309859139086011
53	Gimcheon-si	24	60060	Gyeongsangbuk-do	36.139875	128.11365	27	37	2	0.89	22.35	12.2	212	4. High	0.46609028294030896	-0.43601845300866043	0.5928720477651043	0.08086324443653892	0.10611611165565388	-0.020271598127604384	-0.08913357278111789
54	Gimhae-si	10	61040	Gyeongsangnam-do	35.228678	128.889352	58	91	4	2.1	10.74	5.3	711	3. Moderate	-3.323862610198814	-0.3434661586809304	0.14554450779416986	-0.4287394592096524	0.6631875072807732	-0.05623203755360973	-0.11740263068125939
55	Gimje-si	1	50030	Jeollabuk-do	35.803506	126.880507	36	40	0	1.11	30.89	17.9	188	2. Low	1.2961415533326535	-1.1236994120645096	-0.8809873528121465	0.15033240607124032	0.6031612635209573	-0.25691787741769057	0.010041728908532914
56	Gimpo-si	13	20080	Gyeonggi-do	37.615238	126.715601	43	90	2	1.74	12.1	4.4	604	3. Moderate	-2.3383085425503167	0.20648537242668744	-0.009000333678584369	0.42671730987127143	0.6627834601335888	0.377778654071957	0.1855034900494752
57	Goesan-gun	11	40010	Chungcheongbuk-do	36.81534	127.786651	14	15	1	0.36	33.01	16.5	64	3. Moderate	2.4063319102575766	-0.906208774038575	0.4271809700214315	0.19211198645541513	-0.30668657541047756	-0.03256416064983834	0.24905849767879637
58	Goryeong-gun	9	60030	Gyeongsangbuk-do	35.72615	128.26295	9	9	0	0.62	30.17	15.9	62	3. Moderate	2.4428945847285997	-0.1893579796982811	0.035726694873850495	0.24206800057878322	-0.14549421653793299	0.037307599185273176	0.11140638689026698
59	Goseong-gun	2	30020	Gangwon-do	38.380571	128.467827	13	11	1	0.48	28.53	14.6	41	2. Low	2.0863279862447826	-0.36688425985035694	0.605138424968434	0.2081815949937283	-0.2022400109326953	-0.07174553762987666	0.08460290308068269
60	Goseong-gun	2	61030	Gyeongsangnam-do	34.972986	128.322246	19	18	0	1.3	30.17	18.2	89	2. Low	1.881177505432853	-0.34523370886083876	-0.7867744477057619	-0.41448528950859315	0.3965906464791067	-0.061827223811068546	-0.0833390416376219
61	Goyang-si	25	20020	Gyeonggi-do	37.658363	126.831961	84	171	2	1.88	12.82	5.2	1608	4. High	-5.05261641626062	-1.8412614275286914	-1.622892751314577	1.5683696272035392	0.320841985393294	0.5613230337061774	0.24348650427219679
62	Gumi-si	67	60040	Gyeongsangbuk-do	36.119641	128.344295	50	104	3	1.96	9.08	4.3	616	4. High	-3.1148661643956372	-0.007320566213692715	0.14610959299626242	0.11680082891056451	0.9081527274819146	0.46420583004174015	-0.00901782010962779
63	Gunpo-si	29	20070	Gyeonggi-do	37.361653	126.935206	26	49	1	1.58	12.42	5.4	429	4. High	-0.9877497614924433	1.0879720803366761	0.1054933736264521	0.3500117888821493	0.3754064601732831	0.17835511946756408	-0.02346934168545254
64	Gunsan-si	3	50020	Jeollabuk-do	35.967631	126.737011	56	67	5	2.04	18.07	8.8	494	2. Low	-2.3604758927505305	-0.9016545891289345	0.3962736593445034	-1.2933707406994575	0.5515442122429975	-0.4486109734371424	-0.006214592482367144
65	Gunwi-gun	6	60050	Gyeongsangbuk-do	36.242926	128.572939	7	8	0	0.25	38.87	21.6	41	2. Low	3.520830370184889	-1.277562303487024	-0.1912685663512845	0.14931864712475357	-0.42751351946816735	0.14286999035510256	0.16435687660639406
66	Guri-si	4	20060	Gyeonggi-do	37.594267	127.129549	16	30	0	1.94	12.88	5.1	418	2. Low	-0.561384439217893	1.9192637416009504	-0.42085458951839105	0.04766516181106686	0.3449586657247847	0.13148181437184034	0.05110075633034363
67	Guro-gu	34	10070	Seoul	37.495632	126.88765	26	34	3	1	16.21	5.7	741	4. High	-0.9292113536362258	0.29056919282810145	0.8750673423131375	0.20906278721761193	-0.9377078351447753	-0.13099903994420428	0.02833585857977014
